机器质量等级,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障,具体故障类别
L,1442,48.0,7.247748691099477,181,0,Normal
L,1564,33.8,5.535413612565445,183,0,Normal
L,1452,48.9,7.4348481675392675,185,0,Normal
L,1466,42.5,6.524083769633508,187,0,Normal
L,1944,23.4,4.76330890052356,192,0,Normal
L,1617,33.0,5.587539267015707,203,0,Normal
L,1541,38.5,6.212408376963351,208,0,Normal
L,1320,47.4,6.5516230366492145,210,0,Normal
L,1354,53.3,7.556879581151832,212,1,OSF
L,1589,31.8,5.291120418848168,217,0,Normal
L,1530,35.5,5.687434554973822,0,0,Normal
L,1539,33.4,5.382471204188482,2,0,Normal
L,1462,46.8,7.164565445026177,4,0,Normal
L,1356,54.0,7.667434554973822,6,0,Normal
L,1394,40.3,5.882534031413612,11,0,Normal
L,1568,33.7,5.533151832460733,13,0,Normal
L,1378,49.3,7.113654450261779,18,0,Normal
L,1437,42.8,6.440167539267016,23,0,Normal
L,1363,44.0,6.2797905759162305,25,0,Normal
L,1482,39.1,6.067664921465969,45,0,Normal
L,1550,38.8,6.297382198952879,53,0,Normal
L,1602,38.2,6.408,58,0,Normal
L,1477,37.9,5.861602094240837,60,0,Normal
L,1618,29.2,4.9471832460732985,62,0,Normal
L,1831,25.4,4.869884816753926,81,0,Normal
L,1584,34.4,5.705717277486911,83,0,Normal
L,1450,40.9,6.209947643979057,85,0,Normal
L,1428,46.9,7.0129005235602095,87,0,Normal
L,1382,53.0,7.669738219895288,89,0,Normal
L,1501,43.0,6.758429319371728,91,0,Normal
L,1475,42.4,6.548691099476439,93,0,Normal
L,1364,54.0,7.712670157068063,95,0,Normal
L,1472,36.1,5.564314136125655,97,0,Normal
L,1437,47.8,7.192523560209423,99,0,Normal
L,1491,45.1,7.041267015706807,101,0,Normal
L,1706,27.6,4.930429319371728,103,0,Normal
L,1607,39.5,6.646753926701571,105,0,Normal
L,1412,46.3,6.845612565445026,107,0,Normal
L,1546,40.9,6.621089005235602,109,0,Normal
L,1365,50.5,7.218062827225131,111,0,Normal
L,1544,30.2,4.882596858638743,113,0,Normal
L,1497,41.6,6.52096335078534,118,0,Normal
L,1437,42.6,6.41007329842932,120,0,Normal
L,1421,53.6,7.9754554973822,122,0,Normal
L,1692,28.3,5.013989528795811,136,0,Normal
L,1570,35.6,5.852565445026178,138,0,Normal
L,1568,35.8,5.877947643979057,140,0,Normal
L,1355,43.8,6.214554973821989,142,0,Normal
L,1578,35.6,5.882387434554974,153,0,Normal
L,1429,48.5,7.257225130890053,164,0,Normal
L,1568,36.3,5.960041884816754,166,0,Normal
L,1341,43.8,6.150345549738219,171,0,Normal
L,1496,44.9,7.033549738219895,179,0,Normal
L,1268,69.4,9.214575916230368,189,1,OSF
L,1629,34.3,5.850753926701571,191,0,Normal
L,1790,27.2,5.098219895287958,193,0,Normal
L,1462,48.2,7.378890052356022,204,0,Normal
L,1771,26.2,4.858659685863874,206,0,Normal
L,1506,47.0,7.411727748691099,208,0,Normal
L,1626,36.7,6.248607329842932,210,0,Normal
L,1610,33.7,5.681361256544504,212,0,Normal
L,1642,30.3,5.209696335078534,3,0,Normal
L,1568,32.9,5.4018010471204185,10,0,Normal
L,1278,54.0,7.226387434554974,18,0,Normal
L,1472,40.1,6.180858638743456,31,0,Normal
L,1519,36.9,5.869225130890052,41,0,Normal
L,1601,35.8,6.001654450261779,43,0,Normal
L,2449,13.8,3.5388691099476444,45,0,Normal
L,1787,27.6,5.164523560209425,47,0,Normal
L,1559,34.0,5.550366492146597,54,0,Normal
L,1557,36.0,5.869319371727749,56,0,Normal
L,1497,40.5,6.348534031413613,58,0,Normal
L,1757,29.1,5.353790575916231,71,0,Normal
L,1581,36.1,5.9763455497382205,73,0,Normal
L,1798,29.6,5.5728586387434556,81,0,Normal
L,2304,15.1,3.642973821989529,89,0,Normal
L,1379,54.7,7.898565445026178,91,0,Normal
L,1628,34.9,5.94944502617801,93,0,Normal
L,1474,52.7,8.134010471204189,95,0,Normal
L,1391,48.4,7.0496753926701565,100,0,Normal
L,1348,55.5,7.833926701570681,102,0,Normal
L,1706,29.5,5.2698429319371725,107,0,Normal
L,1638,32.4,5.557193717277487,109,0,Normal
L,1458,40.1,6.12207329842932,111,0,Normal
L,1781,27.8,5.184481675392671,113,0,Normal
L,1332,59.1,8.243057591623037,115,0,Normal
L,1491,42.0,6.557277486910995,120,0,Normal
L,1585,30.6,5.078638743455498,127,0,Normal
L,1458,41.8,6.3816125654450255,132,0,Normal
L,1388,53.8,7.819308900523559,137,0,Normal
L,2216,16.8,3.898303664921466,139,0,Normal
L,1402,51.0,7.487120418848168,141,0,Normal
L,1459,42.1,6.431821989528796,146,0,Normal
L,1521,39.3,6.259193717277486,151,0,Normal
L,1407,47.1,6.93923560209424,153,0,Normal
L,1452,43.5,6.6138219895287955,158,0,Normal
L,1528,37.3,5.967999999999999,160,0,Normal
L,1230,59.6,7.676230366492146,162,0,Normal
L,1466,42.4,6.508732984293194,164,0,Normal
L,1478,50.1,7.753696335078534,166,0,Normal
L,2057,18.0,3.877068062827225,168,0,Normal
L,1490,41.7,6.50607329842932,170,0,Normal
L,1484,43.4,6.744041884816753,172,0,Normal
L,1593,37.0,6.171832460732984,174,0,Normal
L,1444,43.8,6.622743455497382,176,0,Normal
L,1310,61.0,8.367539267015706,189,1,OSF
L,1400,48.7,7.139267015706806,194,0,Normal
L,1688,32.0,5.656125654450261,202,0,Normal
L,1497,37.7,5.909623036649215,207,0,Normal
L,1355,49.4,7.009109947643979,209,0,Normal
L,1592,38.2,6.368,211,0,Normal
L,1544,34.7,5.61013612565445,213,0,Normal
L,1365,52.9,7.56109947643979,218,1,OSF
L,1877,24.3,4.776031413612565,0,0,Normal
L,1531,40.8,6.540816753926701,2,0,Normal
L,1501,36.7,5.768240837696336,4,0,Normal
L,1490,46.2,7.2081675392670155,6,0,Normal
L,1597,38.2,6.388,11,0,Normal
L,1452,39.8,6.051267015706806,21,0,Normal
L,1396,42.5,6.212565445026178,23,0,Normal
L,1505,39.7,6.256387434554974,25,0,Normal
L,1412,48.3,7.1413193717277474,27,0,Normal
L,1393,38.0,5.54282722513089,29,0,Normal
L,1581,34.9,5.777685863874345,31,0,Normal
L,1573,37.9,6.242586387434555,33,0,Normal
L,1296,62.9,8.535958115183245,41,0,Normal
L,1447,48.6,7.36379057591623,46,0,Normal
L,1563,34.3,5.613706806282722,53,0,Normal
L,1286,59.5,8.012251308900524,55,0,Normal
L,1590,34.6,5.760628272251309,57,0,Normal
L,1492,43.7,6.8272670157068065,59,0,Normal
L,1844,21.9,4.2286492146596855,61,0,Normal
L,1921,22.9,4.606376963350785,68,0,Normal
L,1365,46.9,6.703507853403141,73,0,Normal
L,1499,37.5,5.886125654450262,78,0,Normal
L,1451,38.2,5.804,80,0,Normal
L,1412,44.5,6.579476439790576,85,0,Normal
L,1433,39.2,5.882052356020943,87,0,Normal
L,1426,43.6,6.510324607329843,89,0,Normal
L,1476,45.2,6.985884816753926,91,0,Normal
L,1383,56.5,8.182146596858638,98,0,Normal
L,1505,37.3,5.8781675392670145,100,0,Normal
L,1665,33.9,5.910314136125654,102,0,Normal
L,1397,45.0,6.5827225130890055,104,0,Normal
L,1567,36.4,5.972649214659685,109,0,Normal
L,1453,37.7,5.735926701570682,119,0,Normal
L,1622,33.3,5.6557696335078536,121,0,Normal
L,1538,38.5,6.200314136125654,123,0,Normal
L,1761,28.9,5.32909947643979,128,0,Normal
L,1373,50.2,7.217235602094242,130,0,Normal
L,1414,51.7,7.654848167539267,140,0,Normal
L,1386,57.3,8.316,147,0,Normal
L,1379,62.3,8.99598952879581,149,0,Normal
L,1532,42.5,6.817801047120419,154,0,Normal
L,1697,31.0,5.508586387434555,164,0,Normal
L,1499,44.1,6.922083769633509,166,0,Normal
L,1535,38.0,6.107853403141362,179,0,Normal
L,1551,36.0,5.8467015706806285,186,0,Normal
L,1769,27.2,5.038408376963351,188,0,Normal
L,1551,34.1,5.538125654450262,190,0,Normal
L,1544,31.4,5.076607329842932,192,0,Normal
L,1528,31.1,4.976,194,0,Normal
L,1614,35.8,6.050387434554973,196,0,Normal
L,1432,49.8,7.467392670157067,198,0,Normal
L,1540,37.8,6.095497382198952,203,0,Normal
L,1407,43.9,6.467780104712041,205,0,Normal
L,1644,32.8,5.64640837696335,215,0,Normal
L,1792,27.9,5.235267015706806,217,0,Normal
L,1438,44.5,6.700628272251309,3,0,Normal
L,1824,26.3,5.023162303664922,5,0,Normal
L,1502,36.7,5.772083769633508,12,0,Normal
L,1606,35.5,5.969947643979058,14,0,Normal
L,1561,37.7,6.1622722513089006,16,0,Normal
L,1602,38.3,6.424774869109948,21,0,Normal
L,1618,35.2,5.9637277486911,31,0,Normal
L,1509,41.6,6.573235602094241,33,0,Normal
L,1550,39.0,6.329842931937173,35,0,Normal
L,1481,38.0,5.8929842931937175,40,0,Normal
L,1289,48.3,6.51923560209424,42,0,Normal
L,1479,42.5,6.581937172774869,47,0,Normal
L,1430,47.3,7.08261780104712,49,0,Normal
L,1521,42.9,6.832554973821989,60,0,Normal
L,1439,41.6,6.268314136125655,62,0,Normal
L,1627,31.5,5.366544502617801,64,0,Normal
L,1749,26.1,4.779989528795812,66,0,Normal
L,1530,35.9,5.75151832460733,68,0,Normal
L,1355,51.3,7.27869109947644,70,0,Normal
L,1551,33.8,5.489403141361256,72,0,Normal
L,1515,46.7,7.408429319371728,74,0,Normal
L,1388,48.6,7.063539267015707,76,0,Normal
L,1585,34.6,5.742513089005236,78,0,Normal
L,1523,37.7,6.012261780104713,80,0,Normal
L,1369,54.5,7.812617801047121,82,0,Normal
L,1503,38.3,6.027738219895287,87,0,Normal
L,1459,44.5,6.7984816753926705,89,0,Normal
L,1688,32.4,5.72682722513089,91,0,Normal
L,2029,19.9,4.227968586387434,96,0,Normal
L,1906,22.1,4.410743455497383,104,0,Normal
L,1465,49.4,7.578115183246073,109,0,Normal
L,1515,42.8,6.789738219895288,125,0,Normal
L,1380,47.6,6.8783246073298425,130,0,Normal
L,1544,35.9,5.804146596858638,132,0,Normal
L,1743,27.3,4.982607329842932,134,0,Normal
L,1379,49.6,7.162136125654452,152,0,Normal
L,1624,29.8,5.067560209424085,160,0,Normal
L,1526,41.1,6.5673926701570675,162,0,Normal
L,2381,14.2,3.540335078534031,164,0,Normal
L,1576,33.8,5.577884816753926,171,0,Normal
L,1942,20.6,4.189026178010471,176,0,Normal
L,1492,37.2,5.811769633507853,178,0,Normal
L,1470,51.3,7.896439790575916,180,0,Normal
L,1424,46.5,6.933612565445026,185,0,Normal
L,1608,33.9,5.707979057591623,193,0,Normal
L,1684,33.1,5.83669109947644,200,0,Normal
L,1950,20.3,4.145026178010471,202,0,Normal
L,1368,51.8,7.420146596858638,5,0,Normal
L,1981,23.2,4.81248167539267,16,0,Normal
L,1446,45.3,6.8590366492146595,23,0,Normal
L,1508,47.9,7.563685863874345,25,0,Normal
L,1384,59.5,8.62282722513089,27,0,Normal
L,1404,48.1,7.0714554973822,32,0,Normal
L,1564,31.1,5.093235602094241,34,0,Normal
L,1325,54.0,7.492146596858639,41,0,Normal
L,1595,32.3,5.394607329842931,46,0,Normal
L,1662,28.6,4.977298429319372,48,0,Normal
L,1571,37.4,6.152397905759162,50,0,Normal
L,2886,3.8,1.1483560209424084,57,1,PWF
L,1538,38.2,6.152000000000001,59,0,Normal
L,1618,33.0,5.590994764397906,61,0,Normal
L,1364,45.9,6.555769633507853,63,0,Normal
L,1442,47.3,7.142052356020941,65,0,Normal
L,1313,67.3,9.252869109947643,67,1,PWF
L,1847,23.6,4.564314136125655,69,0,Normal
L,1524,40.8,6.510910994764398,71,0,Normal
L,1761,28.2,5.2000209424083765,76,0,Normal
L,1388,40.3,5.857214659685863,109,0,Normal
L,1495,48.1,7.5297905759162305,111,0,Normal
L,1654,28.9,5.005298429319372,123,0,Normal
L,2567,12.8,3.440586387434555,125,1,PWF
L,1767,27.0,4.995706806282723,127,0,Normal
L,1364,53.8,7.684104712041885,129,0,Normal
L,1476,36.8,5.687623036649214,134,0,Normal
L,1479,45.0,6.969109947643979,136,0,Normal
L,1650,34.1,5.891623036649214,138,0,Normal
L,1460,46.5,7.10890052356021,143,0,Normal
L,1664,27.6,4.809047120418849,145,0,Normal
L,1493,43.7,6.831842931937174,153,0,Normal
L,1354,43.3,6.139078534031413,155,0,Normal
L,1488,39.4,6.138973821989529,157,0,Normal
L,1414,48.7,7.210659685863875,159,0,Normal
L,1391,57.4,8.360565445026177,161,0,Normal
L,1351,56.3,7.964534031413613,174,0,Normal
L,1880,23.0,4.527748691099476,176,0,Normal
L,1859,24.0,4.671832460732984,178,0,Normal
L,1327,61.0,8.476125654450263,186,1,OSF
L,1498,38.1,5.976314136125655,188,0,Normal
L,1518,35.8,5.690513089005235,195,0,Normal
L,1392,43.0,6.267643979057592,197,0,Normal
L,1715,30.2,5.423350785340314,0,0,Normal
L,1668,37.8,6.602136125654449,5,0,Normal
L,1496,39.2,6.140649214659686,12,0,Normal
L,1444,40.0,6.048167539267015,17,0,Normal
L,1412,50.7,7.496167539267017,24,0,Normal
L,1668,32.7,5.711371727748691,31,0,Normal
L,1486,40.6,6.31744502617801,42,0,Normal
L,1643,36.5,6.279528795811518,55,0,Normal
L,1355,45.8,6.498324607329842,60,0,Normal
L,1607,30.3,5.098649214659686,62,0,Normal
L,1517,44.4,7.052858638743456,67,0,Normal
L,1546,37.6,6.086869109947645,72,0,Normal
L,1567,34.7,5.693706806282723,74,0,Normal
L,1502,41.8,6.574198952879581,79,0,Normal
L,1361,56.9,8.108994764397906,81,0,Normal
L,1486,42.3,6.581968586387434,86,0,Normal
L,1840,21.5,4.142408376963351,88,0,Normal
L,1326,58.4,8.108732984293193,90,0,Normal
L,1367,57.8,8.273570680628271,92,0,Normal
L,1598,32.7,5.471685863874346,94,0,Normal
L,1363,50.1,7.150397905759163,96,0,Normal
L,1242,62.0,8.06324607329843,98,0,Normal
L,1705,29.1,5.195340314136126,109,0,Normal
L,1548,45.8,7.423916230366491,111,0,Normal
L,1683,32.8,5.780356020942408,122,0,Normal
L,1503,40.7,6.405455497382199,124,0,Normal
L,1512,40.8,6.459643979057591,137,0,Normal
L,1764,29.0,5.356649214659686,139,0,Normal
L,1631,29.9,5.106481675392669,144,0,Normal
L,1344,54.3,7.641801047120419,151,0,Normal
L,1574,35.8,5.900439790575916,153,0,Normal
L,1418,41.2,6.117445026178011,155,0,Normal
L,1372,54.1,7.7722722513089,157,0,Normal
L,1388,40.0,5.813612565445026,159,0,Normal
L,1694,29.1,5.161821989528796,169,0,Normal
L,1968,20.4,4.203895287958115,171,0,Normal
L,1687,29.1,5.140492146596859,176,0,Normal
L,1430,52.4,7.846282722513089,178,0,Normal
L,1504,42.4,6.6774450261780105,180,0,Normal
L,1977,20.2,4.181717277486912,182,0,Normal
L,1435,45.6,6.8519371727748695,184,0,Normal
L,1643,32.3,5.556952879581151,200,0,Normal
L,1492,38.7,6.046115183246074,202,0,Normal
L,1387,50.8,7.377968586387434,204,0,Normal
L,1658,30.0,5.208376963350785,3,0,Normal
L,2161,17.5,3.9599476439790577,5,0,Normal
L,1665,32.0,5.5790575916230365,7,0,Normal
L,1716,26.6,4.779643979057592,9,0,Normal
L,1529,34.1,5.459570680628272,11,0,Normal
L,1353,50.7,7.182942408376964,13,0,Normal
L,1537,37.7,6.067528795811518,15,0,Normal
L,1606,30.8,5.179560209424084,17,0,Normal
L,1623,29.9,5.081434554973821,24,0,Normal
L,1638,35.1,6.0202931937172774,38,0,Normal
L,1698,33.3,5.920774869109947,40,0,Normal
L,1411,42.4,6.2645445026178015,48,0,Normal
L,1517,40.8,6.481005235602094,50,0,Normal
L,1578,35.6,5.882387434554974,55,0,Normal
L,1425,58.2,8.684293193717277,57,0,Normal
L,1456,42.4,6.464335078534032,59,0,Normal
