机器质量等级,厂房室温（℃）,机器温度（℃）,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障,具体故障类别
M,23.650000000000034,34.25,1472,43.9,6.766575916230366,30,0,Normal
M,23.55000000000001,34.25,1540,38.7,6.24062827225131,45,0,Normal
M,23.450000000000045,34.35000000000002,1734,27.0,4.902408376963351,50,0,Normal
M,23.55000000000001,34.35000000000002,1515,42.1,6.67869109947644,55,0,Normal
M,23.350000000000023,34.25,1350,55.6,7.859685863874345,69,0,Normal
M,23.450000000000045,34.25,1790,25.8,4.835811518324608,72,0,Normal
M,23.25,34.150000000000034,2077,19.1,4.154000000000001,80,0,Normal
M,23.55000000000001,34.650000000000034,1258,69.0,9.089214659685863,105,1,PWF
M,23.55000000000001,34.650000000000034,1375,51.4,7.400523560209424,108,0,Normal
M,23.55000000000001,34.650000000000034,1672,32.4,5.672544502617801,113,0,Normal
M,23.650000000000034,34.75,1843,25.2,4.863204188481675,116,0,Normal
M,23.650000000000034,34.75,1418,47.9,7.1122722513089,127,0,Normal
M,23.75,34.650000000000034,1426,50.7,7.570492146596858,130,0,Normal
M,23.850000000000023,34.75,1569,33.3,5.47096335078534,141,0,Normal
M,23.75,34.75,1385,44.8,6.497172774869109,144,0,Normal
M,23.950000000000045,34.85000000000002,1690,25.6,4.530261780104712,159,0,Normal
M,23.950000000000045,34.950000000000045,1506,37.7,5.945151832460733,210,0,Normal
M,23.950000000000045,34.950000000000045,1823,24.3,4.638628272251309,219,0,Normal
M,23.950000000000045,34.950000000000045,1352,44.4,6.285738219895287,0,0,Normal
M,24.05000000000001,35.150000000000034,1578,37.8,6.245905759162303,3,0,Normal
M,24.05000000000001,35.150000000000034,1429,42.0,6.284607329842932,6,0,Normal
M,24.05000000000001,35.150000000000034,1604,39.4,6.617549738219895,9,0,Normal
M,24.25,35.450000000000045,1522,38.0,6.056125654450262,33,0,Normal
M,24.05000000000001,35.150000000000034,1794,27.5,5.165968586387435,38,0,Normal
M,24.05000000000001,35.150000000000034,1776,28.0,5.2071204188481675,43,0,Normal
M,24.05000000000001,35.150000000000034,1431,43.7,6.548136125654451,46,0,Normal
M,23.850000000000023,34.950000000000045,1507,43.1,6.801225130890053,51,0,Normal
M,23.850000000000023,34.85000000000002,1408,47.9,7.062115183246073,54,0,Normal
M,23.850000000000023,34.75,1493,34.7,5.42482722513089,57,0,Normal
M,23.75,34.75,1441,47.6,7.182366492146597,60,0,Normal
M,23.75,34.75,1979,20.4,4.227392670157068,68,0,Normal
M,23.75,34.85000000000002,1430,55.9,8.370366492146596,71,0,Normal
M,23.850000000000023,34.950000000000045,1355,51.4,7.2928795811518325,76,0,Normal
M,23.850000000000023,34.950000000000045,1573,34.9,5.748450261780104,93,0,Normal
M,23.650000000000034,34.650000000000034,1551,38.9,6.3176858638743445,112,0,Normal
M,23.650000000000034,34.650000000000034,1694,33.0,5.853612565445026,115,0,Normal
M,23.850000000000023,35.05000000000001,1702,30.7,5.471350785340315,124,0,Normal
M,23.75,34.950000000000045,1357,41.8,5.939539267015706,127,0,Normal
M,23.850000000000023,35.150000000000034,1399,46.4,6.797235602094241,132,0,Normal
M,23.950000000000045,35.25,1583,38.2,6.332000000000001,150,0,Normal
M,23.950000000000045,35.25,1880,23.5,4.626178010471204,155,0,Normal
M,24.05000000000001,35.35000000000002,1604,40.7,6.835895287958116,158,0,Normal
M,24.05000000000001,35.35000000000002,1364,55.6,7.941193717277488,163,0,Normal
M,23.950000000000045,35.25,1502,37.3,5.866450261780105,181,0,Normal
M,23.950000000000045,35.25,1615,32.6,5.512984293193718,184,0,Normal
M,23.950000000000045,35.35000000000002,1621,32.4,5.49951832460733,194,0,Normal
M,23.950000000000045,35.25,1432,53.4,8.007204188481676,199,0,Normal
M,23.950000000000045,35.25,1588,33.4,5.553842931937172,204,0,Normal
M,24.25,35.650000000000034,1359,48.7,6.930188481675393,220,0,Normal
M,24.350000000000023,35.75,1535,37.7,6.059633507853404,12,0,Normal
M,24.350000000000023,35.75,1280,48.5,6.500523560209424,19,0,Normal
M,24.650000000000034,36.150000000000034,2243,15.7,3.6874450261780103,36,0,Normal
M,24.950000000000045,36.450000000000045,1549,38.7,6.2770994764397905,43,0,Normal
M,24.850000000000023,36.25,1276,65.9,8.805068062827226,50,0,Normal
M,24.950000000000045,36.25,1362,47.6,6.788607329842932,70,0,Normal
M,25.05000000000001,36.25,1693,34.4,6.0983455497382195,73,0,Normal
M,25.05000000000001,36.25,1408,46.5,6.855706806282723,76,0,Normal
M,25.150000000000034,36.450000000000045,1531,40.1,6.428596858638743,81,0,Normal
M,25.350000000000023,36.450000000000045,1492,41.7,6.514806282722513,100,0,Normal
M,25.350000000000023,36.450000000000045,1441,48.2,7.272900523560209,107,0,Normal
M,25.450000000000045,36.55000000000001,1635,32.2,5.512774869109949,110,0,Normal
M,25.450000000000045,36.55000000000001,1675,28.4,4.981151832460733,115,0,Normal
M,25.55000000000001,36.55000000000001,1868,23.8,4.655329842931938,118,0,Normal
M,25.55000000000001,36.650000000000034,1343,53.6,7.537675392670157,134,0,Normal
M,25.55000000000001,36.75,1458,40.2,6.137340314136126,137,0,Normal
M,25.850000000000023,37.150000000000034,1635,34.5,5.906544502617801,168,0,Normal
M,25.850000000000023,37.150000000000034,1582,33.3,5.516293193717277,177,0,Normal
M,25.850000000000023,37.150000000000034,1540,38.1,6.143874345549738,182,0,Normal
M,25.650000000000034,36.950000000000045,1243,74.5,9.696701570680629,194,1,OSF
M,25.650000000000034,36.950000000000045,1719,28.8,5.184,206,0,Normal
M,25.850000000000023,37.150000000000034,1558,35.4,5.775204188481675,223,0,Normal
M,25.450000000000045,37.05000000000001,1668,31.5,5.501780104712042,7,0,Normal
M,25.450000000000045,37.05000000000001,1328,50.5,7.022408376963351,12,0,Normal
M,25.450000000000045,36.950000000000045,1596,33.0,5.514973821989529,15,0,Normal
M,25.55000000000001,37.05000000000001,1598,33.3,5.572083769633507,36,0,Normal
M,25.450000000000045,36.950000000000045,1444,48.1,7.2729214659685875,39,0,Normal
M,25.450000000000045,36.85000000000002,1681,35.5,6.248743455497382,44,0,Normal
M,25.55000000000001,36.950000000000045,1693,31.9,5.655151832460732,51,0,Normal
M,25.450000000000045,36.950000000000045,1458,41.9,6.396879581151832,61,0,Normal
M,25.55000000000001,36.950000000000045,1368,56.8,8.136376963350784,72,0,Normal
M,25.650000000000034,37.05000000000001,1581,37.5,6.208115183246074,75,0,Normal
M,25.55000000000001,37.150000000000034,1481,41.5,6.435759162303665,83,0,Normal
M,25.55000000000001,37.150000000000034,1495,38.7,6.058272251308901,88,0,Normal
M,25.650000000000034,37.150000000000034,1573,41.8,6.884963350785339,91,0,Normal
M,25.650000000000034,37.150000000000034,1366,59.0,8.439162303664922,94,0,Normal
M,25.650000000000034,37.150000000000034,1528,37.1,5.936,99,0,Normal
M,25.650000000000034,37.05000000000001,1527,31.2,4.988732984293194,102,0,Normal
M,25.650000000000034,37.05000000000001,1583,35.7,5.917602094240839,116,0,Normal
M,25.75,37.05000000000001,1331,49.0,6.829214659685864,121,0,Normal
M,25.75,37.05000000000001,1603,36.1,6.059507853403142,126,0,Normal
M,25.850000000000023,37.150000000000034,1494,46.6,7.290094240837697,144,0,Normal
M,25.75,36.950000000000045,1313,56.8,7.809256544502617,171,0,Normal
M,25.75,36.950000000000045,1555,40.6,6.610785340314136,176,0,Normal
M,25.75,36.950000000000045,1469,53.2,8.183329842931938,189,0,Normal
M,25.650000000000034,36.75,1415,53.2,7.8825130890052355,194,0,Normal
M,25.55000000000001,36.650000000000034,1528,36.7,5.872000000000001,197,0,Normal
M,25.55000000000001,36.650000000000034,1570,42.1,6.921151832460733,200,0,Normal
M,25.55000000000001,36.75,2083,18.2,3.9696963350785337,205,0,Normal
M,25.650000000000034,36.75,1495,35.2,5.510366492146598,214,0,Normal
M,25.55000000000001,36.55000000000001,1622,34.6,5.876565445026179,8,0,Normal
M,25.75,36.85000000000002,1456,43.8,6.677780104712041,15,0,Normal
M,25.75,36.75,1404,41.4,6.086450261780104,20,0,Normal
M,25.650000000000034,36.650000000000034,1377,49.6,7.151748691099476,27,0,Normal
M,25.650000000000034,36.650000000000034,1534,37.0,5.943246073298429,47,0,Normal
M,25.650000000000034,36.75,1741,27.7,5.049811518324607,50,0,Normal
M,25.650000000000034,36.85000000000002,1486,38.5,5.990680628272251,55,0,Normal
M,25.850000000000023,37.05000000000001,1628,35.8,6.102869109947643,64,0,Normal
M,25.850000000000023,37.150000000000034,1662,33.6,5.8474554973821995,67,0,Normal
M,25.850000000000023,37.150000000000034,1657,31.0,5.378743455497382,70,0,Normal
M,25.850000000000023,37.150000000000034,1447,39.9,6.045581151832461,78,0,Normal
M,25.450000000000045,36.650000000000034,1419,44.9,6.671528795811518,115,0,Normal
M,25.350000000000023,36.450000000000045,1438,44.5,6.700628272251309,124,0,Normal
M,25.350000000000023,36.35000000000002,1315,48.9,6.733350785340314,127,0,Normal
M,25.350000000000023,36.35000000000002,1366,61.9,8.853968586387435,130,0,Normal
M,25.25,36.35000000000002,1519,35.4,5.630638743455497,133,0,Normal
M,25.05000000000001,36.150000000000034,2056,18.7,4.025884816753926,144,0,Normal
M,25.05000000000001,36.05000000000001,1332,60.2,8.396481675392671,147,0,Normal
M,24.950000000000045,35.950000000000045,1448,52.5,7.96020942408377,150,0,Normal
M,24.850000000000023,35.85000000000002,1562,39.2,6.411560209424084,155,0,Normal
M,24.950000000000045,35.85000000000002,1976,19.3,3.99338219895288,158,0,Normal
M,25.05000000000001,36.05000000000001,1524,34.6,5.521507853403142,161,0,Normal
M,25.05000000000001,35.85000000000002,1723,26.6,4.799141361256545,168,0,Normal
M,24.950000000000045,35.75,1353,46.2,6.545403141361257,173,0,Normal
M,24.850000000000023,35.55000000000001,1479,58.5,9.059842931937172,176,1,PWF
M,24.850000000000023,35.55000000000001,1377,48.5,6.993141361256544,181,0,Normal
M,24.950000000000045,35.650000000000034,2206,16.3,3.765214659685864,195,0,Normal
M,24.850000000000023,35.55000000000001,2101,17.4,3.8279999999999994,198,0,Normal
M,24.850000000000023,35.55000000000001,1436,48.2,7.247664921465968,201,0,Normal
M,24.850000000000023,35.450000000000045,1376,55.7,8.025465968586387,214,0,Normal
M,24.850000000000023,35.450000000000045,1507,37.3,5.885979057591623,217,0,Normal
M,24.950000000000045,35.55000000000001,1547,38.9,6.3013926701570675,0,0,Normal
M,24.950000000000045,35.650000000000034,1628,37.6,6.409717277486911,12,0,Normal
M,25.05000000000001,35.75,1614,35.5,5.999685863874346,15,0,Normal
M,25.05000000000001,35.75,1408,38.8,5.720460732984293,20,0,Normal
M,25.05000000000001,35.75,1512,38.5,6.095497382198953,28,0,Normal
M,25.05000000000001,35.75,1585,34.3,5.692722513089005,33,0,Normal
M,24.950000000000045,35.75,1417,39.2,5.816376963350786,65,0,Normal
M,24.850000000000023,35.75,1339,51.4,7.206764397905758,68,0,Normal
M,25.05000000000001,35.75,1326,54.4,7.553340314136125,75,0,Normal
M,25.25,35.950000000000045,1467,39.6,6.083057591623037,78,0,Normal
M,25.350000000000023,36.05000000000001,1449,46.4,7.040167539267014,83,0,Normal
M,25.25,35.950000000000045,1525,39.3,6.275654450261779,86,0,Normal
M,25.25,35.85000000000002,1544,38.8,6.273005235602094,97,0,Normal
M,25.150000000000034,35.650000000000034,1349,52.1,7.359465968586388,104,0,Normal
M,25.25,35.55000000000001,1584,31.7,5.2578848167539265,117,0,Normal
M,25.05000000000001,35.150000000000034,1476,43.5,6.723141361256545,129,0,Normal
M,25.05000000000001,35.25,1510,39.9,6.3087958115183245,134,0,Normal
M,24.850000000000023,35.05000000000001,2090,19.0,4.158115183246073,143,0,Normal
M,24.850000000000023,34.950000000000045,1403,44.8,6.581612565445026,148,0,Normal
M,24.950000000000045,35.05000000000001,1654,35.3,6.113738219895287,155,0,Normal
M,25.150000000000034,35.25,1444,47.5,7.182198952879581,178,0,Normal
M,25.05000000000001,35.150000000000034,1560,33.0,5.390575916230366,181,0,Normal
M,25.05000000000001,35.150000000000034,1639,33.3,5.7150471204188475,191,0,Normal
M,25.150000000000034,35.25,1486,44.2,6.877612565445026,196,0,Normal
M,25.05000000000001,35.150000000000034,1448,43.3,6.565277486910994,199,0,Normal
M,24.950000000000045,35.150000000000034,1453,41.5,6.314083769633508,204,0,Normal
M,24.850000000000023,35.05000000000001,1373,51.2,7.361005235602095,215,0,Normal
M,24.650000000000034,34.650000000000034,1543,43.7,7.060638743455498,8,0,Normal
M,24.650000000000034,34.650000000000034,1622,32.1,5.451958115183246,18,0,Normal
M,24.650000000000034,34.75,1726,27.3,4.934010471204189,35,0,Normal
M,24.75,34.75,1540,39.8,6.418010471204187,38,0,Normal
M,24.650000000000034,34.75,1802,25.8,4.8682303664921465,43,0,Normal
M,24.650000000000034,34.650000000000034,1310,57.9,7.942303664921466,70,0,Normal
M,24.75,34.650000000000034,1303,59.3,8.090879581151832,75,0,Normal
M,24.75,34.75,1336,54.4,7.6103036649214655,82,0,Normal
M,24.75,34.650000000000034,1450,43.5,6.604712041884817,106,0,Normal
M,24.850000000000023,34.85000000000002,1555,37.0,6.024607329842932,111,0,Normal
M,24.75,34.55000000000001,1527,42.8,6.84351832460733,125,0,Normal
M,24.850000000000023,34.75,1417,51.0,7.567225130890052,137,0,Normal
M,25.05000000000001,34.85000000000002,1577,35.9,5.928198952879581,151,0,Normal
M,24.950000000000045,34.85000000000002,1374,48.8,7.021068062827225,156,0,Normal
M,25.05000000000001,34.85000000000002,1411,47.2,6.973738219895288,168,0,Normal
M,24.950000000000045,34.75,1759,28.6,5.267790575916231,176,0,Normal
M,24.950000000000045,34.650000000000034,1384,43.7,6.333068062827225,200,0,Normal
M,24.75,34.35000000000002,1647,30.8,5.3117905759162305,212,0,Normal
M,24.75,34.25,1610,34.6,5.833089005235602,219,0,Normal
M,24.650000000000034,34.150000000000034,1804,26.0,4.911413612565445,222,0,Normal
M,24.75,34.25,1403,52.8,7.756900523560208,0,0,Normal
M,24.75,34.25,1435,42.9,6.446230366492147,18,0,Normal
M,24.950000000000045,34.450000000000045,1764,27.7,5.116523560209424,23,0,Normal
M,24.75,34.450000000000045,1519,44.0,6.998534031413612,37,0,Normal
M,24.850000000000023,34.450000000000045,1844,23.8,4.595518324607331,44,0,Normal
M,24.950000000000045,34.650000000000034,1636,36.7,6.28703664921466,51,0,Normal
M,24.950000000000045,34.650000000000034,1503,44.7,7.034984293193718,54,0,Normal
M,24.950000000000045,34.650000000000034,1608,32.6,5.489089005235602,57,0,Normal
M,25.05000000000001,34.55000000000001,1681,31.0,5.456649214659686,84,0,Normal
M,25.05000000000001,34.55000000000001,1952,21.6,4.414994764397906,93,0,Normal
M,25.150000000000034,34.650000000000034,1457,52.5,8.009685863874346,98,0,Normal
M,25.150000000000034,34.650000000000034,1392,50.4,7.3462617801047125,101,0,Normal
M,25.150000000000034,34.55000000000001,1602,33.4,5.602806282722512,106,0,Normal
M,25.150000000000034,34.55000000000001,1439,43.8,6.599811518324607,111,0,Normal
M,25.150000000000034,34.650000000000034,1330,55.4,7.715392670157068,114,0,Normal
M,25.150000000000034,34.75,1485,42.0,6.530890052356021,117,0,Normal
M,25.350000000000023,34.950000000000045,1501,39.2,6.161172774869111,127,0,Normal
M,25.350000000000023,34.75,1640,33.1,5.684188481675393,146,0,Normal
M,25.350000000000023,34.85000000000002,1363,49.2,7.0219476439790585,149,0,Normal
M,25.350000000000023,34.85000000000002,1713,25.8,4.62779057591623,154,0,Normal
M,25.350000000000023,34.85000000000002,1461,51.9,7.939884816753926,157,0,Normal
M,25.25,34.650000000000034,1617,31.6,5.350492146596859,173,0,Normal
M,24.850000000000023,34.25,1463,46.5,7.123507853403141,182,0,Normal
M,24.950000000000045,34.25,1363,60.1,8.577623036649214,187,0,Normal
M,24.950000000000045,34.25,1335,56.2,7.856230366492147,190,0,Normal
M,25.150000000000034,34.55000000000001,1717,27.1,4.872324607329843,7,0,Normal
M,25.150000000000034,34.55000000000001,1520,41.4,6.589319371727749,10,0,Normal
M,25.150000000000034,34.650000000000034,1485,42.0,6.530890052356021,13,0,Normal
M,25.350000000000023,34.85000000000002,1519,37.3,5.932848167539267,29,0,Normal
M,25.450000000000045,35.05000000000001,1488,44.0,6.855706806282723,43,0,Normal
M,24.950000000000045,34.55000000000001,1445,48.0,7.26282722513089,73,0,Normal
M,24.950000000000045,34.650000000000034,1514,43.5,6.896230366492147,78,0,Normal
M,24.950000000000045,34.55000000000001,1498,38.3,6.007685863874345,81,0,Normal
M,24.850000000000023,34.450000000000045,1508,41.8,6.600460732984293,89,0,Normal
M,24.850000000000023,34.35000000000002,1431,52.9,7.9266910994764395,92,0,Normal
M,24.850000000000023,34.35000000000002,1427,45.1,6.739026178010472,95,0,Normal
M,24.850000000000023,34.35000000000002,1524,36.3,5.7927958115183245,98,0,Normal
M,24.850000000000023,34.35000000000002,1427,43.6,6.514890052356021,101,0,Normal
M,24.950000000000045,34.650000000000034,1569,31.2,5.125947643979057,131,0,Normal
M,24.950000000000045,34.450000000000045,1565,36.3,5.948638743455497,140,0,Normal
M,24.950000000000045,34.55000000000001,1435,40.9,6.145706806282723,147,0,Normal
M,24.950000000000045,34.450000000000045,2066,19.2,4.153633507853403,150,0,Normal
M,24.850000000000023,34.35000000000002,1784,27.8,5.193214659685864,163,0,Normal
M,24.75,34.150000000000034,1420,47.8,7.107434554973822,171,0,Normal
M,24.650000000000034,34.150000000000034,1315,54.0,7.435602094240838,180,0,Normal
M,24.650000000000034,34.25,1330,51.7,7.200104712041885,183,0,Normal
M,24.650000000000034,34.05000000000001,1456,39.6,6.03744502617801,199,0,Normal
M,24.55000000000001,34.05000000000001,1405,43.7,6.429162303664922,2,0,Normal
M,24.450000000000045,33.950000000000045,1471,44.9,6.916010471204188,14,0,Normal
M,24.55000000000001,34.05000000000001,1372,52.8,7.585507853403141,33,0,Normal
M,24.55000000000001,34.150000000000034,1365,49.2,7.032251308900523,36,0,Normal
M,24.450000000000045,33.950000000000045,1526,39.1,6.247811518324607,39,0,Normal
M,24.450000000000045,34.05000000000001,1470,42.6,6.557277486910995,44,0,Normal
M,24.650000000000034,34.25,1752,26.1,4.788188481675393,52,0,Normal
M,24.650000000000034,34.25,1488,36.1,5.624795811518325,57,0,Normal
M,24.75,34.450000000000045,1609,30.3,5.104994764397906,64,0,Normal
M,24.75,34.55000000000001,1517,39.5,6.274502617801047,69,0,Normal
M,24.950000000000045,34.75,1662,28.9,5.029507853403141,76,0,Normal
M,25.150000000000034,34.950000000000045,1630,32.7,5.581256544502619,83,0,Normal
M,25.05000000000001,34.650000000000034,1566,33.8,5.542492146596858,100,0,Normal
M,24.950000000000045,34.55000000000001,1424,47.7,7.112544502617801,103,0,Normal
M,25.05000000000001,34.55000000000001,1608,33.8,5.691141361256544,106,0,Normal
M,24.850000000000023,34.450000000000045,1581,43.4,7.184858638743455,113,0,Normal
M,24.850000000000023,34.450000000000045,1472,46.7,7.198157068062828,116,0,Normal
M,24.850000000000023,34.450000000000045,1792,26.0,4.878743455497382,119,0,Normal
M,24.75,34.35000000000002,1642,32.4,5.570764397905759,126,0,Normal
M,24.650000000000034,34.25,1902,24.3,4.839643979057591,129,0,Normal
M,24.650000000000034,34.25,1438,43.6,6.565109947643979,141,0,Normal
M,24.75,34.450000000000045,1505,40.1,6.319424083769634,166,0,Normal
M,24.850000000000023,34.450000000000045,1569,35.6,5.848837696335079,173,0,Normal
M,24.950000000000045,34.650000000000034,1316,57.2,7.882219895287958,191,0,Normal
M,24.850000000000023,34.55000000000001,1621,34.9,5.923863874345549,194,0,Normal
M,24.850000000000023,34.650000000000034,1492,40.2,6.280460732984293,197,0,Normal
M,24.950000000000045,34.75,1463,47.3,7.24606282722513,206,0,Normal
M,24.950000000000045,34.75,1496,40.0,6.265968586387435,0,0,Normal
M,24.850000000000023,34.650000000000034,1483,50.9,7.904157068062827,26,0,Normal
M,24.950000000000045,34.75,1569,37.0,6.078848167539267,29,0,Normal
M,25.05000000000001,34.85000000000002,1969,21.7,4.47406282722513,32,0,Normal
M,24.950000000000045,34.85000000000002,1686,29.3,5.172753926701571,35,0,Normal
M,24.950000000000045,34.75,1377,55.1,7.9447853403141355,42,0,Normal
M,24.950000000000045,34.85000000000002,2129,18.4,4.101947643979058,45,0,Normal
M,24.950000000000045,34.75,1303,53.9,7.3541047120418845,52,0,Normal
M,24.950000000000045,34.85000000000002,1543,41.9,6.769811518324607,73,0,Normal
M,24.850000000000023,34.75,1479,47.6,7.371769633507855,76,0,Normal
M,24.75,34.55000000000001,1364,46.8,6.684314136125654,89,0,Normal
M,24.650000000000034,34.450000000000045,1352,49.4,6.993591623036649,102,0,Normal
M,24.650000000000034,34.35000000000002,1405,46.9,6.899947643979058,113,0,Normal
M,24.75,34.450000000000045,1202,67.0,8.432879581151832,129,0,Normal
M,24.950000000000045,34.55000000000001,1419,47.4,7.042994764397905,142,0,Normal
M,24.950000000000045,34.55000000000001,1633,30.7,5.249539267015707,145,0,Normal
M,24.850000000000023,34.450000000000045,1301,58.5,7.969476439790576,155,0,Normal
M,24.850000000000023,34.55000000000001,1487,41.3,6.43069109947644,160,0,Normal
M,24.850000000000023,34.450000000000045,1459,44.4,6.783204188481675,163,0,Normal
M,24.850000000000023,34.35000000000002,1387,45.5,6.6082198952879585,166,0,Normal
M,25.05000000000001,34.650000000000034,1599,31.2,5.223958115183246,173,0,Normal
M,25.05000000000001,34.650000000000034,1583,36.6,6.066785340314136,185,0,Normal
M,25.150000000000034,34.85000000000002,1463,42.5,6.510732984293194,190,0,Normal
M,25.05000000000001,34.75,1403,45.1,6.625685863874346,193,0,Normal
M,25.25,34.85000000000002,1416,38.2,5.664000000000001,198,1,TWF
M,25.350000000000023,35.05000000000001,1564,37.5,6.141361256544503,15,0,Normal
M,25.350000000000023,35.150000000000034,1381,50.5,7.3026701570680626,22,0,Normal
M,25.450000000000045,35.150000000000034,1717,28.7,5.159989528795812,29,0,Normal
M,25.55000000000001,35.35000000000002,1660,27.0,4.693193717277487,50,0,Normal
M,25.55000000000001,35.450000000000045,1722,24.7,4.453759162303665,64,0,Normal
M,25.55000000000001,35.35000000000002,1360,52.9,7.533403141361257,69,0,Normal
M,25.55000000000001,35.150000000000034,1349,46.6,6.582554973821989,74,0,Normal
M,25.650000000000034,35.35000000000002,1425,47.4,7.0727748691099475,90,0,Normal
M,25.75,35.450000000000045,1469,34.2,5.260712041884817,93,0,Normal
M,25.850000000000023,35.75,1449,39.6,6.00841884816754,105,0,Normal
M,25.950000000000045,35.75,1397,52.4,7.665214659685864,112,0,Normal
M,26.05000000000001,35.85000000000002,1597,30.3,5.066921465968586,115,0,Normal
M,26.150000000000034,35.950000000000045,1703,31.3,5.581560209424084,120,0,Normal
M,26.150000000000034,36.05000000000001,1586,37.9,6.294178010471204,129,0,Normal
M,26.350000000000023,36.150000000000034,1675,29.2,5.121465968586388,132,0,Normal
M,26.25,36.05000000000001,1470,44.4,6.83434554973822,135,0,Normal
M,26.450000000000045,36.25,1605,29.8,5.008272251308901,142,0,Normal
M,26.350000000000023,36.150000000000034,1902,24.0,4.779895287958115,151,0,Normal
M,26.55000000000001,36.450000000000045,1477,42.7,6.603968586387435,163,0,Normal
M,26.55000000000001,36.450000000000045,1534,39.1,6.280565445026178,176,0,Normal
M,26.55000000000001,36.450000000000045,1313,60.0,8.249214659685864,186,0,Normal
M,26.25,36.150000000000034,1692,28.4,5.031706806282722,201,0,Normal
M,26.150000000000034,36.150000000000034,1523,37.9,6.044157068062827,204,0,Normal
M,26.25,36.150000000000034,1485,47.1,7.323926701570681,209,0,Normal
M,26.350000000000023,36.25,1387,56.2,8.162240837696336,32,0,Normal
M,26.25,36.25,1326,47.5,6.5952879581151835,35,0,Normal
M,26.150000000000034,36.150000000000034,1471,46.0,7.085445026178011,42,0,Normal
M,26.150000000000034,35.950000000000045,1376,46.7,6.728712041884817,49,0,Normal
M,26.150000000000034,35.950000000000045,1600,35.3,5.91413612565445,52,0,Normal
M,26.25,35.950000000000045,1417,47.3,7.018230366492146,59,0,Normal
M,26.150000000000034,35.85000000000002,1496,43.4,6.798575916230367,67,0,Normal
M,26.25,35.85000000000002,1381,44.9,6.4928691099476445,88,0,Normal
M,26.150000000000034,35.75,1858,24.7,4.8055078534031415,101,0,Normal
M,26.05000000000001,35.650000000000034,1503,37.4,5.886094240837696,109,0,Normal
M,26.05000000000001,35.650000000000034,1523,38.9,6.203633507853403,112,0,Normal
M,26.150000000000034,35.75,1577,34.9,5.763068062827225,160,0,Normal
M,26.150000000000034,35.650000000000034,1442,49.0,7.3987434554973825,165,0,Normal
M,26.150000000000034,35.55000000000001,1289,51.5,6.951151832460733,185,0,Normal
